Brand,Image,Link,Price,Condition,Mileage,Engine,Transmission,Body Type,Location
Perodua,https://www.oto.my/upload/image/2024/06/21/235181/s4-139545637.jpg,/car-for-sale/235181/used-2020-perodua-myvi-av-selangor/,"RM 52,900",Used,"70,000 - 74,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/06/18/235096/s4-139307121.jpg,/car-for-sale/235096/used-2020-perodua-myvi-h-johor/,"RM 49,900",Used,"65,000 - 69,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/06/15/235066/s4-136901963.jpg,/car-for-sale/235066/used-2021-perodua-ativa-av-selangor/,"RM 68,900",Used,"35,000 - 39,999 km",1.0L,Automatic,SUV,Selangor
Perodua,https://www.oto.my/upload/image/2024/06/15/235055/s4-138052591.jpg,/car-for-sale/235055/used-2018-perodua-myvi-av-selangor/,"RM 49,900",Used,"85,000 - 89,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/06/14/235029/s4-137670763.jpg,/car-for-sale/235029/used-2020-perodua-aruz-av-selangor/,"RM 64,900",Used,"85,000 - 89,999 km",1.5L,Automatic,MPV,Selangor
Perodua,https://www.oto.my/upload/image/2024/06/10/234957/s4-136791982.jpg,/car-for-sale/234957/used-2020-perodua-aruz-av-selangor/,"RM 64,900",Used,"75,000 - 79,999 km",1.5L,Automatic,MPV,Selangor
Perodua,https://www.oto.my/upload/image/2024/06/04/234848/s4-135247879.jpg,/car-for-sale/234848/used-2021-perodua-aruz-av-selangor/,"RM 66,900",Used,"75,000 - 79,999 km",1.5L,Automatic,MPV,Selangor
Perodua,https://www.oto.my/upload/image/2024/06/01/234831/s4-135217832.jpg,/car-for-sale/234831/used-2019-perodua-myvi-h-johor/,"RM 47,900",Used,"65,000 - 69,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/05/28/234716/s4-134036782.jpg,/car-for-sale/234716/used-2020-perodua-myvi-av-johor/,"RM 52,900",Used,"55,000 - 59,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/05/27/234689/s4-133309617.jpg,/car-for-sale/234689/used-2021-perodua-ativa-av-johor/,"RM 68,900",Used,"55,000 - 59,999 km",1.0L,Automatic,SUV,Johor
Perodua,https://www.oto.my/upload/image/2024/05/15/234494/s4-129884980.jpg,/car-for-sale/234494/used-2021-perodua-myvi-av-selangor/,"RM 56,900",Used,"40,000 - 44,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/05/06/234311/s4-127935716.jpg,/car-for-sale/234311/used-2022-perodua-ativa-x-johor/,"RM 66,900",Used,"50,000 - 54,999 km",1.0L,Automatic,SUV,Johor
Perodua,https://www.oto.my/upload/image/2024/05/03/234241/s4-127754498.jpg,/car-for-sale/234241/used-2019-perodua-myvi-av-selangor/,"RM 49,900",Used,"95,000 - 99,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2020/02/05/219131/s4-20240405192707-4631-1857.png,/car-for-sale/219131/new-2024-perodua-myvi-1.5-advance-selangor/,"RM 60,100",New,Brand New Car,1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/01/20/231537/s4-20240120184521-8655-8543.jpg,/car-for-sale/231537/used-2018-perodua-myvi-1.3-premium-x-selangor/,"RM 36,888",Used,"70,000 - 74,999 km",1.3L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2023/08/15/231051/s4-20231213004310-9689-5700.jpg,/car-for-sale/231051/used-2008-perodua-myvi-1.3-ezi-selangor/,"RM 11,800",Used,"150,000 - 159,999 km",1.3L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2021/06/03/225877/s4-20240405194957-3793-9434.jpg,/car-for-sale/225877/new-2024-perodua-axia-1.0-standard-g-selangor/,"RM 38,800",New,Brand New Car,1.0L,Automatic,Hatchback,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/27/235926/s4-148608316.jpg,/car-for-sale/235926/used-2020-toyota-rush-s-selangor/,"RM 73,800",Used,"80,000 - 84,999 km",1.5L,Automatic,MPV,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/27/235925/s4-148800089.jpg,/car-for-sale/235925/used-2019-toyota-c-hr-1.8l-selangor/,"RM 103,800",Used,"95,000 - 99,999 km",1.8L,Automatic,SUV,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/27/235913/s4-149649079.jpg,/car-for-sale/235913/used-2017-toyota-vios-gx-selangor/,"RM 62,800",Used,"90,000 - 94,999 km",1.5L,Automatic,Sedan,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/26/235900/s4-148850341.jpg,/car-for-sale/235900/used-2021-toyota-vios-g-selangor/,"RM 79,800",Used,"65,000 - 69,999 km",1.5L,Automatic,Sedan,Selangor
